respondent_id,date,nps_score,reason,department,role_level
R_0452,2024-11-07,10,Very fast and reliable.,Engineering,Manager
R_0453,2024-02-28,7,"Good, but could be faster.",Marketing,Mid
R_0454,2024-02-20,8,Missing some features.,Marketing,Mid
R_0455,2024-01-19,10,Love the new features!,Marketing,Lead
R_0456,2024-01-15,7,Satisfactory overall.,Marketing,Mid
R_0457,2024-08-27,10,Easy to use and intuitive.,Sales,Lead
R_0458,2024-04-23,9,Great support team.,Finance,Lead
R_0459,2024-07-23,9,Easy to use and intuitive.,Sales,Junior
R_0460,2024-06-20,10,Love the new features!,HR,Manager
R_0461,2024-04-03,8,Satisfactory overall.,Sales,Senior
R_0462,2024-04-22,8,"It's okay, does the job.",HR,Junior
R_0463,2024-03-28,8,"It's okay, does the job.",Product,Lead
R_0464,2024-02-20,5,Crashes frequently.,Engineering,Mid
R_0465,2024-11-16,10,Great support team.,Engineering,Director
R_0466,2024-10-28,10,Easy to use and intuitive.,Marketing,Lead
R_0467,2024-02-13,10,Easy to use and intuitive.,Finance,Director
R_0468,2024-10-30,9,Very fast and reliable.,Engineering,Lead
R_0469,2024-01-13,9,Easy to use and intuitive.,Sales,Director
R_0470,2024-08-29,10,Great support team.,Sales,Mid
R_0471,2024-11-09,0,Too expensive for what it is.,Product,Lead
R_0472,2024-03-18,2,Crashes frequently.,Marketing,Director
R_0473,2024-01-13,9,Very fast and reliable.,HR,Director
R_0474,2024-06-09,9,Easy to use and intuitive.,Sales,Director
R_0475,2024-07-09,10,Easy to use and intuitive.,Sales,Mid
R_0476,2024-01-19,9,Love the new features!,Product,Senior
R_0477,2024-03-19,7,Satisfactory overall.,Finance,Manager
R_0478,2024-01-05,7,Missing some features.,HR,Director
R_0479,2024-07-07,9,Great support team.,Sales,Mid
R_0480,2024-07-24,9,Easy to use and intuitive.,Sales,Lead
R_0481,2024-03-18,9,Easy to use and intuitive.,HR,Lead
R_0482,2024-10-20,0,Too expensive for what it is.,HR,Manager
R_0483,2024-08-21,8,Satisfactory overall.,Engineering,Lead
R_0484,2024-04-04,9,Very fast and reliable.,Sales,Mid
R_0485,2024-04-02,9,Great support team.,Engineering,Mid
R_0486,2024-11-11,8,"Good, but could be faster.",HR,Senior
R_0487,2024-06-15,10,Very fast and reliable.,Finance,Lead
R_0488,2024-04-10,9,Very fast and reliable.,HR,Senior
R_0489,2024-05-16,9,Great support team.,Product,Junior
R_0490,2024-04-16,9,Great support team.,Finance,Manager
R_0491,2024-10-21,10,Love the new features!,Sales,Senior
R_0492,2024-03-19,9,Very fast and reliable.,Product,Mid
R_0493,2024-12-13,10,Love the new features!,HR,Lead
R_0494,2024-08-20,9,Love the new features!,Engineering,Junior
R_0495,2024-09-04,10,Love the new features!,HR,Junior
R_0496,2024-07-09,10,Love the new features!,Sales,Mid
R_0497,2024-08-19,10,Easy to use and intuitive.,Sales,Senior
R_0498,2024-12-05,9,Love the new features!,Engineering,Lead
R_0499,2024-08-15,10,Great support team.,Product,Lead
